county,name,city
BRODSKO-POSAVSKA,Osnovna škola Matija Antun Relković,Davor
OSJEČKO-BARANJSKA,Osnovna škola Matija Gubec,Piškorevci
OSJEČKO-BARANJSKA,Osnovna škola Matija Gubec,Magadenovac
VUKOVARSKO-SRIJEMSKA,Osnovna škola Matija Gubec,Jarmina
BRODSKO-POSAVSKA,Osnovna škola Matija Gubec Cernik,Cernik
GRAD ZAGREB,Osnovna škola Matije Gupca,Zagreb
KRAPINSKO-ZAGORSKA,Osnovna škola Matije Gupca,Gornja Stubica
OSJEČKO-BARANJSKA,Osnovna škola Matije Petra Katančića,Valpovo
ISTARSKA,Osnovna škola Matije Vlačića,Labin
GRAD ZAGREB,Osnovna škola Matka Laginje,Zagreb
BRODSKO-POSAVSKA,Osnovna škola Mato Lovrak,Nova Gradiška
GRAD ZAGREB,Osnovna škola Medvedgrad,Zagreb
SPLITSKO-DALMATINSKA,Osnovna škola Mejaši,Split
SPLITSKO-DALMATINSKA,Osnovna škola Meje,Split
SPLITSKO-DALMATINSKA,Osnovna škola Mertojak,Split
VARAŽDINSKA,Osnovna škola Metel Ožegović,Radovan
ZAGREBAČKA,Osnovna škola Mihaela Šiloboda,Sveti Martin pod Okićem
KOPRIVNIČKO-KRIŽEVAČKA,Osnovna škola Mihovil Pavlek Miškina Đelekovec,Đelekovec
VUKOVARSKO-SRIJEMSKA,Osnovna škola Mijat Stojanović,Babina Greda
VIROVITIČKO-PODRAVSKA,Osnovna škola Mikleuš,Mikleuš
SPLITSKO-DALMATINSKA,Osnovna škola Milana Begovića,Vrlika
ZAGREBAČKA,Osnovna škola Milana Langa,Bregana
OSJEČKO-BARANJSKA,Osnovna škola Milka Cepelića,Vuka
ZAGREBAČKA,Osnovna škola Milke Trnine,Križ
SPLITSKO-DALMATINSKA,Osnovna škola Milna,Milna
BJELOVARSKO-BILOGORSKA,Osnovna škola Mirka Pereša,Kapela
GRAD ZAGREB,Osnovna škola Miroslava Krleže,Zagreb
OSJEČKO-BARANJSKA,Osnovna škola Miroslava Krleže,Čepin
VUKOVARSKO-SRIJEMSKA,Osnovna škola Mitnica,Vukovar
GRAD ZAGREB,Osnovna škola Mladost,Zagreb
OSJEČKO-BARANJSKA,Osnovna škola Mladost,Osijek
POŽEŠKO-SLAVONSKA,Osnovna škola Mladost,Jakšić
SISAČKO-MOSLAVAČKA,Osnovna škola Mladost,Lekenik
DUBROVAČKO-NERETVANSKA,Osnovna škola Mljet,Babino Polje
DUBROVAČKO-NERETVANSKA,"Osnovna škola Mokošica, Dubrovnik",Mokošica
KOPRIVNIČKO-KRIŽEVAČKA,Osnovna škola Molve,Molve
ISTARSKA,Osnovna škola Monte Zaro,Pula
PRIMORSKO-GORANSKA,Osnovna škola Mrkopalj,Mrkopalj
MEĐIMURSKA,Osnovna škola Mursko Središće,Mursko Središće
ŠIBENSKO-KNINSKA,Osnovna škola Murterski Škoji,Murter
GRAD ZAGREB,Osnovna škola nad Lipom,Zagreb
MEĐIMURSKA,Osnovna škola Nedelišće,Nedelišće
VUKOVARSKO-SRIJEMSKA,Osnovna škola Negoslavci,Negoslavci
SPLITSKO-DALMATINSKA,Osnovna škola Neorić-Sutina,Neorić
KARLOVAČKA,Osnovna škola Netretić,Netretić
PRIMORSKO-GORANSKA,Osnovna škola Nikola Tesla,Rijeka
VUKOVARSKO-SRIJEMSKA,Osnovna škola Nikole Andrića,Vukovar
ZAGREBAČKA,Osnovna škola Nikole Hribara,Velika Gorica
GRAD ZAGREB,Osnovna škola Nikole Tesle,Zagreb
VUKOVARSKO-SRIJEMSKA,Osnovna škola Nikole Tesle,Mirkovci
ZADARSKA,Osnovna škola Nikole Tesle,Gračac
ZAGREBAČKA,Osnovna škola Nova škola,Bobovica
VARAŽDINSKA,Osnovna škola Novi Marof,Novi Marof
ZADARSKA,Osnovna škola Novigrad,Novigrad
ZAGREBAČKA,Osnovna škola Novo Čiče,Novo Čiče
SISAČKO-MOSLAVAČKA,Osnovna škola Novska,Novska
SPLITSKO-DALMATINSKA,Osnovna škola o.Petra Perice Makarska,Makarska
ZADARSKA,Osnovna škola Obrovac,Obrovac
GRAD ZAGREB,Osnovna škola Odra,Zagreb
SPLITSKO-DALMATINSKA,Osnovna škola Okruk u Okrugu Gornjem,Okrug Gornji
BRODSKO-POSAVSKA,Osnovna škola Okučani,Okučani
PRIMORSKO-GORANSKA,Osnovna škola Omišalj,Omišalj
DUBROVAČKO-NERETVANSKA,Osnovna škola Opuzen,Opuzen
DUBROVAČKO-NERETVANSKA,Osnovna škola Orebić,Orebić
MEĐIMURSKA,Osnovna škola Orehovica,Orehovica
KRAPINSKO-ZAGORSKA,Osnovna škola Oroslavje,Oroslavje
SPLITSKO-DALMATINSKA,Osnovna škola Ostrog,Kaštel Lukšić
GRAD ZAGREB,Osnovna škola Otok,Zagreb
GRAD ZAGREB,Osnovna škola Otona Ivekovića,Zagreb
DUBROVAČKO-NERETVANSKA,Osnovna škola Otrići-Dubrave,Otrić-Seoci
ZADARSKA,Osnovna škola Pakoštane,Pakoštane
GRAD ZAGREB,Osnovna škola Pantovčak,Zagreb
ZAGREBAČKA,Osnovna škola Pavao Belas,Brdovec
KRAPINSKO-ZAGORSKA,Osnovna škola Pavla Štoosa,Kraljevec na Sutli
GRAD ZAGREB,Osnovna škola Pavleka Miškine,Zagreb
PRIMORSKO-GORANSKA,Osnovna škola Pećine,Rijeka
PRIMORSKO-GORANSKA,Osnovna škola Pehlin,Rijeka
LIČKO-SENJSKA,Osnovna škola Perušić,Perušić
SPLITSKO-DALMATINSKA,Osnovna škola Petar Berislavić,Trogir
ZADARSKA,Osnovna škola Petar Lorini,Sali
ZADARSKA,Osnovna škola Petar Zoranić,Stankovci
PRIMORSKO-GORANSKA,Osnovna škola Petar Zrinski Čabar,Čabar
MEĐIMURSKA,Osnovna škola Petar Zrinski Šenkovec,Šenkovec
SPLITSKO-DALMATINSKA,Osnovna škola Petra Hektorovića Stari Grad,Stari Grad
DUBROVAČKO-NERETVANSKA,Osnovna škola Petra Kanavelića,Korčula
ŠIBENSKO-KNINSKA,Osnovna škola Petra Krešimira IV.,Šibenik
SPLITSKO-DALMATINSKA,Osnovna škola Petra Kružića Klis,Klis
GRAD ZAGREB,Osnovna škola Petra Preradovića,Zagreb
VIROVITIČKO-PODRAVSKA,Osnovna škola Petra Preradovića,Pitomača
ZADARSKA,Osnovna škola Petra Preradovića,Zadar
ISTARSKA,Osnovna škola Petra Studenca Kanfanar,Kanfanar
ZADARSKA,Osnovna škola Petra Zoranića,Jasenice
GRAD ZAGREB,Osnovna škola Petra Zrinskog,Zagreb
VARAŽDINSKA,Osnovna škola Petrijanec,Petrijanec
OSJEČKO-BARANJSKA,Osnovna škola Petrijevci,Petrijevci
ŠIBENSKO-KNINSKA,Osnovna škola Pirovac,Pirovac
KARLOVAČKA,Osnovna škola Plaški,Plaški
LIČKO-SENJSKA,Osnovna škola Plitvička jezera,Plitvička Jezera
SPLITSKO-DALMATINSKA,Osnovna škola Plokite,Split
PRIMORSKO-GORANSKA,Osnovna škola Podmurvice,Rijeka
MEĐIMURSKA,Osnovna škola Podturen,Podturen
SPLITSKO-DALMATINSKA,Osnovna škola Pojišan,Split
ZAGREBAČKA,Osnovna škola Pokupsko,Pokupsko
ZADARSKA,Osnovna škola Poličnik,Poličnik
OSJEČKO-BARANJSKA,Osnovna škola Popovac,Popovac
SISAČKO-MOSLAVAČKA,Osnovna škola Popovača,Popovača
ISTARSKA,Osnovna škola Poreč,Poreč
ZAGREBAČKA,Osnovna škola Posavski Bregi,Posavski Bregi
GRAD ZAGREB,Osnovna škola Prečko,Zagreb
MEĐIMURSKA,Osnovna škola Prelog,Prelog
DUBROVAČKO-NERETVANSKA,Osnovna škola Primorje,Smokovljani
SPLITSKO-DALMATINSKA,Osnovna škola Primorski Dolac,Primorski Dolac
ŠIBENSKO-KNINSKA,Osnovna škola Primošten,Primošten
ZADARSKA,Osnovna škola Privlaka,Privlaka
SPLITSKO-DALMATINSKA,Osnovna škola prof. Filipa Lukasa,Kaštel Stari
KOPRIVNIČKO-KRIŽEVAČKA,Osnovna škola prof. Franje Viktora Šignjara,Virje
SPLITSKO-DALMATINSKA,Osnovna škola Pučišća,Pučišća
SPLITSKO-DALMATINSKA,Osnovna škola Pujanki,Split
ZAGREBAČKA,Osnovna škola Pušća,Donja Pušća
SISAČKO-MOSLAVAČKA,Osnovna škola Rajić,Rajić
GRAD ZAGREB,Osnovna škola Rapska,Zagreb
SPLITSKO-DALMATINSKA,Osnovna škola Ravne njive - Neslanovac Split,Split
KARLOVAČKA,Osnovna škola Rečica,Karlovac
GRAD ZAGREB,Osnovna škola Remete,Zagreb
OSJEČKO-BARANJSKA,Osnovna škola Retfala,Osijek
GRAD ZAGREB,Osnovna škola Retkovec,Zagreb
PRIMORSKO-GORANSKA,Osnovna škola Rikard Katalinić Jeretov,Opatija
ŠIBENSKO-KNINSKA,Osnovna škola Rogoznica,Rogoznica
BJELOVARSKO-BILOGORSKA,Osnovna škola Rovišće,Rovišće
ZAGREBAČKA,Osnovna škola Rude,Rude
GRAD ZAGREB,Osnovna škola Rudeš,Zagreb
PRIMORSKO-GORANSKA,Osnovna škola Rudolfa Strohala,Lokve
ZAGREBAČKA,Osnovna škola Rugvica,Rugvica
SPLITSKO-DALMATINSKA,Osnovna škola Runović,Runović
GRAD ZAGREB,Osnovna škola Ružičnjak,Zagreb
ZAGREBAČKA,Osnovna škola Samobor,Samobor
OSJEČKO-BARANJSKA,Osnovna škola Satnica Đakovačka,Satnica Đakovačka
GRAD ZAGREB,Osnovna škola Savski Gaj,Zagreb
ZAGREBAČKA,Osnovna škola Šćitarjevo,Šćitarjevo
OSJEČKO-BARANJSKA,Osnovna škola Šećerana,Šećerana
SISAČKO-MOSLAVAČKA,Osnovna škola Sela,Sela
SPLITSKO-DALMATINSKA,Osnovna škola Selca,Selca
MEĐIMURSKA,Osnovna škola Selnica,Selnica
VARAŽDINSKA,Osnovna škola Šemovec,Šemovec
GRAD ZAGREB,Osnovna škola Šestine,Zagreb
GRAD ZAGREB,Osnovna škola Sesvete,Sesvete
GRAD ZAGREB,Osnovna škola Sesvetska Sela,Sesvete
GRAD ZAGREB,Osnovna škola Sesvetska Sopnica,Sesvete
GRAD ZAGREB,Osnovna škola Sesvetski Kraljevec,Sesvetski Kraljevec
BRODSKO-POSAVSKA,Osnovna škola Sibinjskih žrtava,Sibinj
KRAPINSKO-ZAGORSKA,Osnovna škola Side Košutić Radoboj,Radoboj
KOPRIVNIČKO-KRIŽEVAČKA,Osnovna škola Sidonije Rubido Erdody,Gornja Rijeka
ISTARSKA,Osnovna škola Šijana Pula,Pula
BRODSKO-POSAVSKA,Osnovna škola Sikirevci,Sikirevci
GRAD ZAGREB,Osnovna škola Silvija Strahimira Kranjčevića,Zagreb
SPLITSKO-DALMATINSKA,Osnovna škola Silvija Strahimira Kranjčevića Lovreć,Lovreć
LIČKO-SENJSKA,Osnovna škola Silvija Strahimira Kranjčevića Senj,Senj
OSJEČKO-BARANJSKA,Osnovna škola Silvije Strahimir Kranjčević,Levanjska Varoš
ZADARSKA,Osnovna škola Šime Budinića - Zadar,Zadar
ZADARSKA,Osnovna škola Šimuna Kožičića Benje,Zadar
VUKOVARSKO-SRIJEMSKA,Osnovna škola Siniše Glavaševića,Vukovar
BJELOVARSKO-BILOGORSKA,Osnovna škola Sirač,Sirač
SPLITSKO-DALMATINSKA,Osnovna škola Skalice,Split
PRIMORSKO-GORANSKA,Osnovna škola Skrad,Skrad
ŠIBENSKO-KNINSKA,Osnovna škola Skradin,Skradin
PRIMORSKO-GORANSKA,Osnovna škola Škurinje Rijeka,Rijeka
VUKOVARSKO-SRIJEMSKA,Osnovna škola Slakovci,Slakovci
DUBROVAČKO-NERETVANSKA,Osnovna škola Slano,Slano
SPLITSKO-DALMATINSKA,Osnovna škola Slatine,Slatine
BJELOVARSKO-BILOGORSKA,Osnovna škola Slavka Kolara,Hercegovac
ZAGREBAČKA,Osnovna škola Slavka Kolara,Kravarsko
KARLOVAČKA,Osnovna škola Slunj,Slunj
ZADARSKA,Osnovna škola Smiljevac,Zadar
DUBROVAČKO-NERETVANSKA,Osnovna škola Smokvica,Smokvica
KOPRIVNIČKO-KRIŽEVAČKA,Osnovna škola Sokolovac,Sokolovac
GRAD ZAGREB,Osnovna škola Špansko Oranice,Zagreb
SPLITSKO-DALMATINSKA,Osnovna škola Spinut,Split
SPLITSKO-DALMATINSKA,Osnovna škola Split 3,Split
VARAŽDINSKA,Osnovna škola Sračinec,Sračinec
GRAD ZAGREB,Osnovna škola Središće,Zagreb
SPLITSKO-DALMATINSKA,Osnovna škola Srinjine,Srinjine
ZADARSKA,Osnovna škola Stanovi,Zadar
VUKOVARSKO-SRIJEMSKA,Osnovna škola Stari Jankovci,Stari Jankovci
ZADARSKA,Osnovna škola Starigrad,Starigrad
BJELOVARSKO-BILOGORSKA,Osnovna škola Štefanje,Štefanje
GRAD ZAGREB,Osnovna škola Stenjevec,Zagreb
SPLITSKO-DALMATINSKA,Osnovna škola Stjepan Radić,Imotski
SPLITSKO-DALMATINSKA,Osnovna škola Stjepan Radić,Tijarica
ZAGREBAČKA,Osnovna škola Stjepan Radić,Božjakovina
BRODSKO-POSAVSKA,Osnovna škola Stjepan Radić Oprisavci,Oprisavci
VUKOVARSKO-SRIJEMSKA,Osnovna škola Stjepana Antolovića,Privlaka
ZAGREBAČKA,Osnovna škola Stjepana Basaričeka,Ivanić-Grad
GRAD ZAGREB,Osnovna škola Stjepana Bencekovića,Horvati
VUKOVARSKO-SRIJEMSKA,Osnovna škola Stjepana Cvrkovića,Stari Mikanovci
SPLITSKO-DALMATINSKA,Osnovna škola Stjepana Ivičevića,Makarska
SISAČKO-MOSLAVAČKA,Osnovna škola Stjepana Kefelje,Kutina
DUBROVAČKO-NERETVANSKA,Osnovna škola Stjepana Radića,Metković
KRAPINSKO-ZAGORSKA,Osnovna škola Stjepana Radića Brestovec Orehovički,Brestovec Orehovički
POŽEŠKO-SLAVONSKA,Osnovna škola Stjepana Radića Čaglin,Čaglin
ZADARSKA,Osnovna škola Stjepana Radića-Bibinje,Bibinje
SPLITSKO-DALMATINSKA,Osnovna škola Stobreč,Stobreč
ISTARSKA,Osnovna škola Stoja,Pula
DUBROVAČKO-NERETVANSKA,Osnovna škola Ston,Ston
MEĐIMURSKA,Osnovna škola Strahoninec,Strahoninec
MEĐIMURSKA,Osnovna škola Štrigova,Štrigova
SPLITSKO-DALMATINSKA,Osnovna škola Studenci,Studenci
SPLITSKO-DALMATINSKA,Osnovna škola Sućidar,Split
VIROVITIČKO-PODRAVSKA,Osnovna škola Suhopolje,Suhopolje
ZADARSKA,Osnovna škola Sukošan,Sukošan
SISAČKO-MOSLAVAČKA,Osnovna škola Sunja,Sunja
SPLITSKO-DALMATINSKA,Osnovna škola Supetar,Supetar
ZADARSKA,Osnovna škola Sv. Filip i Jakov,Sveti Filip i Jakov
KARLOVAČKA,Osnovna škola Švarča,Karlovac
GRAD ZAGREB,Osnovna škola Sveta Klara,Zagreb
MEĐIMURSKA,Osnovna škola Sveta Marija,Sveta Marija
ZAGREBAČKA,Osnovna škola Sveta Nedelja,Sveta Nedelja
OSJEČKO-BARANJSKA,Osnovna škola Svete Ane u Osijeku,Osijek
VARAŽDINSKA,Osnovna škola Sveti Đurđ,Sveti Đurđ
KRAPINSKO-ZAGORSKA,Osnovna škola Sveti Križ Začretje,Sveti Križ Začretje
MEĐIMURSKA,Osnovna škola Sveti Martin na Muri,Sveti Martin na Muri
PRIMORSKO-GORANSKA,Osnovna škola Sveti Matej,Viškovo
KOPRIVNIČKO-KRIŽEVAČKA,Osnovna škola Sveti Petar Orehovec,Sveti Petar Orehovec
ISTARSKA,Osnovna škola Svetvinčenat,Svetvinčenat
VARAŽDINSKA,Osnovna škola Svibovec,Svibovec
ISTARSKA,Osnovna škola Tar - Vabriga - Scuola elementare Torre - Abrega,Tar
OSJEČKO-BARANJSKA,Osnovna škola Tenja,Tenja
OSJEČKO-BARANJSKA,Osnovna škola Tin Ujević,Osijek
SPLITSKO-DALMATINSKA,Osnovna škola Tin Ujević,Krivodol
GRAD ZAGREB,Osnovna škola Tina Ujevića,Zagreb
ŠIBENSKO-KNINSKA,Osnovna škola Tina Ujevića,Šibenik
GRAD ZAGREB,Osnovna škola Tituša Brezovačkog,Zagreb
MEĐIMURSKA,Osnovna škola Tomaša Goričanca Mala Subotica,Mala Subotica
ISTARSKA,Osnovna škola Tone Peruška Pula,Pula
VUKOVARSKO-SRIJEMSKA,Osnovna škola Tordinci,Tordinci
SPLITSKO-DALMATINSKA,Osnovna škola Trilj,Trilj
GRAD ZAGREB,Osnovna škola Trnjanska,Zagreb
VARAŽDINSKA,Osnovna škola Trnovec,Trnovec
BJELOVARSKO-BILOGORSKA,Osnovna škola Trnovitica,Velika Trnovitica
BJELOVARSKO-BILOGORSKA,Osnovna škola Trnovitički Popovac,Trnovitički Popovac
GRAD ZAGREB,Osnovna škola Trnsko,Zagreb
DUBROVAČKO-NERETVANSKA,Osnovna škola Trpanj,Trpanj
VUKOVARSKO-SRIJEMSKA,Osnovna škola Trpinja,Trpinja
SPLITSKO-DALMATINSKA,Osnovna škola Trstenik,Split
SPLITSKO-DALMATINSKA,Osnovna škola Tučepi,Tučepi
KARLOVAČKA,Osnovna škola Turanj,Karlovac
PRIMORSKO-GORANSKA,Osnovna škola Turnić,Rijeka
VARAŽDINSKA,Osnovna škola Tužno,Tužno
BJELOVARSKO-BILOGORSKA,Osnovna škola u Đulovcu,Đulovac
ZADARSKA,Osnovna škola Valentin Klarin Preko,Preko
GRAD ZAGREB,Osnovna škola Većeslava Holjevca,Zagreb
DUBROVAČKO-NERETVANSKA,Osnovna škola Vela Luka,Vela Luka
ISTARSKA,Osnovna škola Veli Vrh Pula,Pula
ZAGREBAČKA,Osnovna škola Velika Mlaka,Velika Mlaka
BJELOVARSKO-BILOGORSKA,Osnovna škola Velika Pisanica,Velika Pisanica
VARAŽDINSKA,Osnovna škola Veliki Bukovec,Veliki Bukovec
KRAPINSKO-ZAGORSKA,Osnovna škola Veliko Trgovišće,Veliko Trgovišće
BJELOVARSKO-BILOGORSKA,Osnovna škola Veliko Trojstvo,Veliko Trojstvo
ISTARSKA,Osnovna škola Veruda Pula,Pula
PRIMORSKO-GORANSKA,Osnovna škola Vežica,Rijeka
ŠIBENSKO-KNINSKA,Osnovna škola Vidici,Šibenik
ISTARSKA,Osnovna škola Vidikovac,Pula
VARAŽDINSKA,Osnovna škola Vidovec,Vidovec
OSJEČKO-BARANJSKA,Osnovna škola Vijenac,Osijek
BRODSKO-POSAVSKA,Osnovna škola Viktor Car Emin,Donji Andrijevci
PRIMORSKO-GORANSKA,Osnovna škola Viktora Cara Emina,Lovran
KRAPINSKO-ZAGORSKA,Osnovna škola Viktora Kovačića,Hum na Sutli
SISAČKO-MOSLAVAČKA,Osnovna škola Viktorovac,Sisak
POŽEŠKO-SLAVONSKA,Osnovna škola Vilima Korajca,Kaptol
VARAŽDINSKA,Osnovna škola Vinica,Vinica
SPLITSKO-DALMATINSKA,Osnovna škola Vis,Vis
OSJEČKO-BARANJSKA,Osnovna škola Višnjevac,Višnjevac
SPLITSKO-DALMATINSKA,Osnovna škola Visoka,Split
VARAŽDINSKA,Osnovna škola Visoko,Visoko
ISTARSKA,Osnovna škola Vitomir Širola - Pajo,Nedešćina
BRODSKO-POSAVSKA,Osnovna škola Vjekoslav Klaić,Garčin
ŠIBENSKO-KNINSKA,Osnovna škola Vjekoslava Kaleba,Tisno
SPLITSKO-DALMATINSKA,Osnovna škola Vjekoslava Paraća,Solin
GRAD ZAGREB,Osnovna škola Vjenceslava Novaka,Zagreb
KRAPINSKO-ZAGORSKA,Osnovna škola Vladimir Bosnar Stubičke Toplice,Stubičke Toplice
ZAGREBAČKA,Osnovna škola Vladimir Deščak,Sveta Nedelja
PRIMORSKO-GORANSKA,Osnovna škola Vladimir Gortan,Rijeka
BRODSKO-POSAVSKA,Osnovna škola Vladimir Nazor,Slavonski Brod
BRODSKO-POSAVSKA,Osnovna škola Vladimir Nazor,Adžamovci
OSJEČKO-BARANJSKA,Osnovna škola Vladimir Nazor,Đakovo
OSJEČKO-BARANJSKA,Osnovna škola Vladimir Nazor,Čepin
POŽEŠKO-SLAVONSKA,Osnovna škola Vladimir Nazor,Trenkovo
VARAŽDINSKA,Osnovna škola Vladimir Nazor,Sveti Ilija
VUKOVARSKO-SRIJEMSKA,Osnovna škola Vladimir Nazor,Komletinci
ZADARSKA,Osnovna škola Vladimir Nazor,Neviđane
ZAGREBAČKA,Osnovna škola Vladimir Nazor,Pisarovina
KRAPINSKO-ZAGORSKA,Osnovna škola Vladimir Nazor Budinščina,Budinščina
SISAČKO-MOSLAVAČKA,Osnovna škola Vladimir Nazor Topusko,Topusko
VIROVITIČKO-PODRAVSKA,Osnovna škola Vladimir Nazor Virovitica,Virovitica
OSJEČKO-BARANJSKA,Osnovna škola Vladimira Becića Osijek,Osijek
ISTARSKA,Osnovna škola Vladimira Gortana,Žminj
BJELOVARSKO-BILOGORSKA,Osnovna škola Vladimira Nazora,Daruvar
GRAD ZAGREB,Osnovna škola Vladimira Nazora,Zagreb
MEĐIMURSKA,Osnovna škola Vladimira Nazora,Pribislavec
OSJEČKO-BARANJSKA,Osnovna škola Vladimira Nazora,Feričanci
SPLITSKO-DALMATINSKA,Osnovna škola Vladimira Nazora,Postira
VIROVITIČKO-PODRAVSKA,Osnovna škola Vladimira Nazora,Nova Bukovica
VUKOVARSKO-SRIJEMSKA,Osnovna škola Vladimira Nazora,Vinkovci
ISTARSKA,Osnovna škola Vladimira Nazora - Krnica,Krnica
ISTARSKA,"Osnovna škola Vladimira Nazora - Scuola elementare ""Vladimir Nazor""",Rovinj
ZADARSKA,Osnovna škola Vladimira Nazora - Škabrnje,Škabrnja
ISTARSKA,Osnovna škola Vladimira Nazora – Scuola elementare Vladimir Nazor,Vrsar
PRIMORSKO-GORANSKA,Osnovna škola Vladimira Nazora Crikvenica,Crikvenica
ISTARSKA,Osnovna škola Vladimira Nazora Pazin,Pazin
ISTARSKA,Osnovna škola Vladimira Nazora Potpićan,Potpićan
SISAČKO-MOSLAVAČKA,Osnovna škola Vladimira Vidrića,Kutina
VIROVITIČKO-PODRAVSKA,Osnovna škola Voćin,Voćin
ŠIBENSKO-KNINSKA,Osnovna škola Vodice,Vodice
VUKOVARSKO-SRIJEMSKA,Osnovna škola Vođinci,Vođinci
ISTARSKA,Osnovna škola Vodnjan - scuola elementare Dignano,Vodnjan
KARLOVAČKA,Osnovna škola Vojnić,Vojnić
GRAD ZAGREB,Osnovna škola Voltino,Zagreb
ZADARSKA,Osnovna škola Voštarnica - Zadar,Zadar
GRAD ZAGREB,Osnovna škola Vrbani,Zagreb
SPLITSKO-DALMATINSKA,Osnovna škola Vrgorac,Vrgorac
ŠIBENSKO-KNINSKA,Osnovna škola Vrpolje,Šibenik
GRAD ZAGREB,Osnovna škola Vugrovec-Kašina,Kašina
GRAD ZAGREB,Osnovna škola Vukomerec,Zagreb
ZAGREBAČKA,Osnovna škola Vukovina,Gornje Podotočje
ZADARSKA,Osnovna škola Zadarski Otoci - Zadar,Zadar
SPLITSKO-DALMATINSKA,Osnovna škola Zagvozd,Zagvozd
KARLOVAČKA,Osnovna škola Žakanje,Žakanje
PRIMORSKO-GORANSKA,Osnovna škola Zamet,Rijeka
GRAD ZAGREB,Osnovna škola Zapruđe,Zagreb
POŽEŠKO-SLAVONSKA,Osnovna škola Zdenka Turkovića,Kutjevo
ZADARSKA,Osnovna škola Zemunik,Zemunik Donji
GRAD ZAGREB,Osnovna škola Žitnjak,Zagreb
KRAPINSKO-ZAGORSKA,Osnovna škola Zlatar Bistrica,Zlatar-Bistrica
OSJEČKO-BARANJSKA,Osnovna škola Zmajevac,Zmajevac
SPLITSKO-DALMATINSKA,Osnovna škola Zmijavci,Zmijavci
SPLITSKO-DALMATINSKA,Osnovna škola Žnjan-Pazdigrad,Split
SISAČKO-MOSLAVAČKA,Osnovna škola Zorke Sever,Popovača
LIČKO-SENJSKA,Osnovna škola Zrinskih i Frankopana,Otočac
VUKOVARSKO-SRIJEMSKA,Osnovna škola Zrinskih Nuštar,Nuštar
SPLITSKO-DALMATINSKA,Osnovna škola Žrnovnica,Žrnovnica
DUBROVAČKO-NERETVANSKA,Osnovna škola Župa Dubrovačka,Mlini
GRAD ZAGREB,Osnovna škola Žuti Brijeg,Zagreb
SISAČKO-MOSLAVAČKA,Osnovna škola Zvonimira Franka,Kutina
PRIMORSKO-GORANSKA,Osnovna škola Zvonka Cara,Crikvenica
PRIMORSKO-GORANSKA,Osnovna waldorfska škola,Rijeka
ISTARSKA,Osnovna waldorfska škola Vodnjan - Dignano,Vodnjan
ISTARSKA,Pazinski Kolegij - klasična gimnazija Pazin s pravom javnosti,Pazin
GRAD ZAGREB,PKG Europska gimnazija Zagreb,Zagreb
GRAD ZAGREB,Policijska škola Josip Jović,Zagreb
GRAD ZAGREB,Poliklinika za rehabilitaciju slušanja i govora SUVAG,Zagreb
OSJEČKO-BARANJSKA,Poljoprivredna i veterinarska škola Osijek,Osijek
ZADARSKA,"Poljoprivredna, prehrambena i veterinarska škola Stanka Ožanića",Zadar
VUKOVARSKO-SRIJEMSKA,Poljoprivredno Šumarska škola Vinkovci,Vinkovci
POŽEŠKO-SLAVONSKA,Poljoprivredno-prehrambena škola,Požega
PRIMORSKO-GORANSKA,Pomorska škola,Bakar
SPLITSKO-DALMATINSKA,Pomorska škola,Split
ZADARSKA,Pomorska škola Zadar,Zadar
DUBROVAČKO-NERETVANSKA,Pomorsko-tehnička škola Dubrovnik,Dubrovnik
GRAD ZAGREB,Prehrambeno-Tehnološka škola,Zagreb
PRIMORSKO-GORANSKA,Prirodoslovna i grafička škola Rijeka,Rijeka
KARLOVAČKA,Prirodoslovna škola Karlovac,Karlovac
SPLITSKO-DALMATINSKA,Prirodoslovna škola Split,Split
GRAD ZAGREB,Prirodoslovna škola Vladimira Preloga,Zagreb
ZADARSKA,Prirodoslovno - grafička škola,Zadar
GRAD ZAGREB,"Privatna gimnazija Dr. Časl, s pravom javnosti",Zagreb
GRAD ZAGREB,Privatna gimnazija i ekonomska škola Katarina Zrinski,Zagreb
GRAD ZAGREB,Privatna gimnazija i strukovna škola Svijet s pravom javnosti,Zagreb
GRAD ZAGREB,Privatna gimnazija i turističko-ugostiteljska škola Jure Kuprešak,Zagreb
ZADARSKA,Privatna gimnazija Nova s pravom javnosti,Zadar
GRAD ZAGREB,Privatna klasična osnovna škola s pravom javnosti,Zagreb
SPLITSKO-DALMATINSKA,"Privatna osnovna škola Aspalathos Međunarodna škola, osnovna škola s pravom javnosti",Dugopolje
ZADARSKA,Privatna osnovna škola Nova,Zadar
GRAD ZAGREB,Privatna škola Futura,Zagreb
GRAD ZAGREB,Privatna sportska i jezična gimnazija Franjo Bučar,Zagreb
GRAD ZAGREB,Privatna srednja škola AMAC međunarodna škola,Zagreb
SPLITSKO-DALMATINSKA,Privatna srednja škola Aspalathos Međunarodna škola,Dugopolje
SPLITSKO-DALMATINSKA,"Privatna srednja škola Marko Antun de Dominis, s pravom javnosti",Split
SPLITSKO-DALMATINSKA,Privatna srednja škola Wallner,Split
GRAD ZAGREB,"Privatna umjetnička gimnazija, s pravom javnosti",Zagreb
PRIMORSKO-GORANSKA,Prometna škola,Rijeka
ŠIBENSKO-KNINSKA,Prometno-tehnička škola Šibenik,Šibenik
OSJEČKO-BARANJSKA,Prosvjetno-Kulturni centar Mađara u Republici Hrvatskoj,Osijek
GRAD ZAGREB,Prva ekonomska škola,Zagreb
